Posting Period,Date,Document Number,Customer,Revenue Arrangement,Account,Debit,Credit,Source Document
Jan 2025,2025-01-31,NB-2025-001,Aurora Retail,REV-ARR-001,4000 Subscription Revenue,,400.00,NB-2025-001
Jan 2025,2025-01-31,NB-2025-001,Aurora Retail,REV-ARR-001,2200 Deferred Revenue,400.00,,NB-2025-001
Feb 2025,2025-02-28,NB-2025-001,Aurora Retail,REV-ARR-001,4000 Subscription Revenue,,400.00,NB-2025-001
Feb 2025,2025-02-28,NB-2025-001,Aurora Retail,REV-ARR-001,2200 Deferred Revenue,400.00,,NB-2025-001
Mar 2025,2025-03-31,NB-2025-001,Aurora Retail,REV-ARR-001,4000 Subscription Revenue,,400.00,NB-2025-001
Mar 2025,2025-03-31,NB-2025-001,Aurora Retail,REV-ARR-001,2200 Deferred Revenue,400.00,,NB-2025-001
Apr 2025,2025-04-30,NB-2025-001,Aurora Retail,REV-ARR-001,4000 Subscription Revenue,,400.00,NB-2025-001
Apr 2025,2025-04-30,NB-2025-001,Aurora Retail,REV-ARR-001,2200 Deferred Revenue,400.00,,NB-2025-001
May 2025,2025-05-31,NB-2025-001,Aurora Retail,REV-ARR-001,4000 Subscription Revenue,,400.00,NB-2025-001
May 2025,2025-05-31,NB-2025-001,Aurora Retail,REV-ARR-001,2200 Deferred Revenue,400.00,,NB-2025-001
Jun 2025,2025-06-30,NB-2025-001,Aurora Retail,REV-ARR-001,4000 Subscription Revenue,,400.00,NB-2025-001
Jun 2025,2025-06-30,NB-2025-001,Aurora Retail,REV-ARR-001,2200 Deferred Revenue,400.00,,NB-2025-001
Jul 2025,2025-07-31,NB-2025-001,Aurora Retail,REV-ARR-001,4000 Subscription Revenue,,400.00,NB-2025-001
Jul 2025,2025-07-31,NB-2025-001,Aurora Retail,REV-ARR-001,2200 Deferred Revenue,400.00,,NB-2025-001
Aug 2025,2025-08-31,NB-2025-001,Aurora Retail,REV-ARR-001,4000 Subscription Revenue,,400.00,NB-2025-001
Aug 2025,2025-08-31,NB-2025-001,Aurora Retail,REV-ARR-001,2200 Deferred Revenue,400.00,,NB-2025-001
Sep 2025,2025-09-30,NB-2025-001,Aurora Retail,REV-ARR-001,4000 Subscription Revenue,,400.00,NB-2025-001
Sep 2025,2025-09-30,NB-2025-001,Aurora Retail,REV-ARR-001,2200 Deferred Revenue,400.00,,NB-2025-001
Oct 2025,2025-10-31,NB-2025-001,Aurora Retail,REV-ARR-001,4000 Subscription Revenue,,400.00,NB-2025-001
Oct 2025,2025-10-31,NB-2025-001,Aurora Retail,REV-ARR-001,2200 Deferred Revenue,400.00,,NB-2025-001
Nov 2025,2025-11-30,NB-2025-001,Aurora Retail,REV-ARR-001,4000 Subscription Revenue,,400.00,NB-2025-001
Nov 2025,2025-11-30,NB-2025-001,Aurora Retail,REV-ARR-001,2200 Deferred Revenue,400.00,,NB-2025-001
Dec 2025,2025-12-31,NB-2025-001,Aurora Retail,REV-ARR-001,4000 Subscription Revenue,,400.00,NB-2025-001
Dec 2025,2025-12-31,NB-2025-001,Aurora Retail,REV-ARR-001,2200 Deferred Revenue,400.00,,NB-2025-001
Jan 2025,2025-01-31,NB-2025-002,Beacon Health,REV-ARR-002,4000 Subscription Revenue,,1500.00,NB-2025-002
Jan 2025,2025-01-31,NB-2025-002,Beacon Health,REV-ARR-002,2200 Deferred Revenue,1500.00,,NB-2025-002
Feb 2025,2025-02-28,NB-2025-002,Beacon Health,REV-ARR-002,4000 Subscription Revenue,,1500.00,NB-2025-002
